subject_id,Experiment,Time0,Time1,Score,Preference
SUB001,4,07:29:22,07:32:27,3,Blue
SUB002,4,08:02:54,08:04:19,0,Blue
SUB003,4,08:08:06,08:08:10,3,greeen
SUB004,4,07:50:18,07:52:20,2,Blue
SUB005,4,07:31:29,07:32:17,1,Red
SUB006,,07:32:34,07:38:21,5,NA
SUB007,4,08:00:30,08:03:02,2,Yellow
SUB008,4,07:40:15,07:42:55,0,n/a
SUB009,4,07:22:42,07:25:08,1,Blue
SUB010,4,08:35:17,08:37:49,4,Red
SUB011,4,07:23:57,07:29:08,1,Blue
SUB012,4,07:52:01,07:53:33,1,Red
SUB013,4,08:29:58,08:35:43,6,Blue
SUB014,4,08:19:25,08:24:24,8,green
SUB015,4,08:33:04,08:39:45,7,Blue
SUB016,4,07:17:46,07:24:58,9,Red
SUB017,4,07:40:40,07:46:46,7,red
SUB018,4,08:13:55,08:21:25,6,Yellow
SUB019,4,07:27:36,07:35:26,10,Yellow
SUB020,4,07:59:00,08:05:27,6,Blue
SUB021,4,07:42:47,07:49:53,9,Red
SUB022,4,07:43:13,07:48:57,7,Blue
SUB023,4,08:35:32,08:40:52,7,Blue
SUB024,4,07:11:09,07:17:42,9,Blue
