subject_id,Experiment,Time0,Time1,Score,Preference
SUB001,2,08:11:01,08:14:11,0,Blue
SUB002,2,08:42:22,08:44:38,4,Blue
SUB003,2,07:24:28,07:28:17,2,greeen
SUB004,2,08:30:19,08:31:07,5,Blue
SUB005,2,07:53:03,07:57:15,2,Red
SUB006,2,07:53:41,07:55:17,5,NA
SUB007,2,07:43:21,07:48:54,3,Yellow
SUB008,2,08:03:51,08:05:35,0,n/a
SUB009,2,07:03:36,07:04:14,3,Blue
SUB010,2,08:05:28,08:08:45,4,Red
SUB011,2,07:50:47,07:54:55,3,Blue
SUB012,2,08:29:05,08:33:48,0,Red
SUB013,2,08:09:45,08:17:06,7,Blue
SUB014,2,07:10:59,07:16:36,8,green
SUB015,2,07:18:33,07:21:48,10,Blue
SUB016,2,07:03:42,07:06:47,6,Red
SUB017,2,08:08:49,08:15:45,7,red
SUB018,2,07:09:19,07:15:08,9,Yellow
SUB019,2,07:24:18,07:27:22,9,Yellow
SUB020,2,07:25:47,07:32:27,8,Blue
SUB021,2,08:41:36,08:45:45,7,Red
SUB022,2,07:23:05,07:30:46,6,Blue
SUB023,2,08:32:06,08:37:31,7,Blue
SUB024,2,07:08:13,07:12:33,7,Blue
