subject_id,Experiment,Time0,Time1,Score,Preference
SUB001,3,08:33:55,08:37:14,3,Blue
SUB002,3,07:04:22,07:05:01,2,Blue
SUB003,3,07:34:12,07:34:55,4,greeen
SUB004,3,08:07:12,08:12:05,0,Blue
SUB005,3,08:19:31,08:20:03,0,Red
SUB006,3,07:58:08,08:03:53,0,NA
SUB007,3,08:01:41,08:07:12,1,Yellow
SUB008,3,07:33:20,07:36:46,0,n/a
SUB009,3,08:38:16,08:39:20,1,Blue
SUB010,3,07:37:47,07:40:28,0,Red
SUB011,3,08:02:00,08:07:39,5,Blue
SUB012,3,07:49:55,07:51:29,4,Red
SUB013,3,08:29:47,08:33:47,6,Blue
SUB014,3,08:35:19,08:39:58,10,green
SUB015,3,07:09:19,07:17:18,8,Blue
SUB016,3,08:03:32,08:10:25,8,Red
SUB017,3,08:37:57,08:42:25,7,red
SUB018,3,08:38:48,08:45:35,8,Yellow
SUB019,3,07:58:06,08:05:51,10,Yellow
SUB020,3,07:06:20,07:11:23,9,Blue
SUB021,3,08:23:57,08:30:55,10,Red
SUB022,3,07:52:45,07:57:07,7,Blue
SUB023,3,07:31:30,07:37:43,7,Blue
SUB024,3,08:19:44,08:24:56,10,Blue
